id,nombre
1,Actividades Universitarias
2,Actuación
3,Agronomía e Ing. Forestal
4,Antropología
5,Arquitectura
6,Arte
7,Astrofísica
8,CARA
9,Ciencia Política
10,Ciencias Biológicas
11,Ciencias de la Salud
12,Colegio Programas Doctorales
13,Comunicaciones
14,Construcción Civil
15,Deportes
16,Derecho
17,Desarrollo Sustentable
18,Diseño
19,Economía y Administración
20,Educación
21,Enfermería
22,Escuela de Gobierno
23,Estudios Urbanos
24,Estética
25,Filosofía
26,Física
27,Geografía
28,Historia
29,Ing Matemática y Computacional
30,Ingeniería
31,Ingeniería Biológica y Médica
32,Letras
33,Lic. Generales (College)
34,Matemáticas
35,Medicina
36,Medicina Veterinaria
37,Música
38,Odontología
39,Psicología
40,Química
41,Requisito Idioma
42,Sociología
43,Teología
44,Trabajo Social
45,Villarrica
